PCIR
App Issue | App Lag issue | T/S Shared - Asked to Retry
Other Tickets | Call Drop | Call Drop
Other Tickets | Data deletion - Account closure | Redirected to Chat
Other Tickets | Data Deletion | Data Deletion
Other Tickets | Data Deletion | Data deletion
Other Tickets | Data Deletion | Data deletion - Account closure
Other Tickets | Duplicate ticket | Duplicate ticket
Other Tickets | Incomplete information | Asked for complete information
Other Tickets | Internal Employee | L2J: Raised for unmasking
Other Tickets | Language barrier | Language barrier
Other Tickets | New feature request | Feedback taken for Investments
Other Tickets | New feature request | Feedback taken for Loans
Other Tickets | New feature request | Feedback taken for Payments
Other Tickets | New feature request | Feedback taken for PFM
Other Tickets | New feature request | Feedback taken for Pots
Other Tickets | New feature request | Feedback taken for Rewards
Other Tickets | New feature request | Feedback taken for SA
Other Tickets | Outbound Call | Outbound Call
Other Tickets | Spam | Spam
Other Tickets | Test Ticket | Test Ticket
Other Tickets | Unregistered Email ID | Unregistered Email ID
Pots-Acc Restricted | Branch denied KYC | L2C: Raised to resolve branch visit denial
Pots-Acc Restricted | How to remove dormancy from Pots A/c | Guided with steps to lift dormancy
"Pots-Acc Restricted | KYC completed, Dormancy not lifted | Informed to wait for 2 WD"
"Pots-Acc Restricted | KYC completed, Dormancy not lifted | L2C: Raised to activate A/C"
Pots-Info& Details | How to create Pot | Guided with steps
Pots-Info& Details | How to delete Pot | Guided with steps
Pots-Info& Details | Unable to create pot | L2J: Unable to create pot tech issue
Pots-Pots Usage | Facing balance mistmatch issue | L2J: Escalated to resolve balance issues
Pots-Pots Usage | How to delete Pot | Guided with steps
Pots-Pots Usage | How to deposit money in Pots | Guided with deposit process
Pots-Pots Usage | How to withdraw money from Pot | Guided with withdrawal process
Pots-Pots Usage | Incoming Txn Related | L2J: Txn failed issue
Pots-Pots Usage | Incoming Txn Related | L2J: Txn in processing issue
"Pots-Pots Usage | Incoming Txn Related | Txn failed, informed to wait for TAT"
"Pots-Pots Usage | Incoming Txn Related | Txn processing, informed to wait for TAT"
Pots-Pots Usage | Outgoing Txn Related | L2J: Txn failed issue
Pots-Pots Usage | Outgoing Txn Related | L2J: Txn in processing issue
"Pots-Pots Usage | Outgoing Txn Related | txn processing, informed to wait for TAT"
"Pots-Pots Usage | Unable to add money | L2J: ""Add money screen not available"" tech issue"
"Pots-Pots Usage | Unable to add money | L2J: ""Pot does not exist"" tech issue"
"Pots-Pots Usage | Unable to add money | L2J: ""Secondary a/c null"" tech issue"
"Pots-Pots Usage | Unable to add money | L2J: ""Something seems to be wrong"" tech issue"
Pots-Pots Usage | Unable to add money | L2J: Individual pot bal not updated issue
Pots-Pots Usage | Unable to add money | L2J: Other technical issues
Pots-Pots Usage | Unable to add money | L2J: Overall /individual pot bal not updated issue
Pots-Pots Usage | Unable to delete Pot | L2J: Escalated to resolve deletion issues
"Pots-Pots Usage | Unable to withdraw money | L2J: ""Screen not available"" tech issue"
"Pots-Pots Usage | Unable to withdraw money | L2J: ""Something seems to be wrong"" tech issue"
"Pots-Pots Usage | Unable to withdraw money | L2J: ""Trouble connecting to servers"" tech issue"
Pots-Pots Usage | Unable to withdraw money | L2J: Individual pot bal not updated issue
Pots-Pots Usage | Unable to withdraw money | L2J: Overall & individual pot bal not updated issue
PRO Account - Info & Details | L2J: MAB related Issue | Escalated to Tech due to MAB discrepency
PRO Account - Info & Details | MAB related enquiry | Educate about the MAB
PRO Account - Info & Details | PRO Benefits related enquiry | Educate about the Benefits
PRO Account - Status Related | Downgrade Related - How to downgrade from PRO | Educated about downgrading process
PRO Account - Status Related | L2J: Downgrade related issue | Escalated to Tech
PRO Account - Status Related | L2J: NRV not updated issue | Escalated to Tech
PRO Account - Status Related | L2J: Upgrade related issue | Escalated to Tech
PRO Account - Status Related | Renewal Related - How to renew the status | Educated about the renewal process
PRO Account - Status Related | Upgrade Related - How to Upgrade to PRO | Educated about upgrading process
Referral-Info& Details | How to refer for CC | Informed the process for CC Referral
Referral-Info& Details | How to refer for SA | Informed SA Referral stopped
Referral-Usage | How to share invite | Informed to share invite to referee
Referral-Usage | Referred but Jewels not credited | Informed the txn eligibility criteria
Referral-Usage | Referred but Jewels not credited | L2J: Referred Jwls not credited
Referral-Usage | Unable to share invite | L2J:Unable to share invite
Rewards-Info & Details | How to earn Jewels | Informed about Jewels earning
Rewards-Info & Details | How to redeem Jewels | Informed about Jewels redemption
Rewards-Info & Details | What is the eligibility to earn Jewels | Informed about eligibility
"Rewards-Redemption | Jwls debited, voucher not credited | Informed the voucher details"
"Rewards-Redemption | Jwls debited, voucher not credited | L2J: Jwls debited,voucher not credited"
Rewards-Redemption | My Jewels were incorrectly clawed back | Informed about Refund / Return
Rewards-Redemption | My Jewels were incorrectly clawed back | L2J: Escalated to resolve clawback issue
"Rewards-Redemption | Redeemed Jewels, amt not credited | Informed to wait for 24 hours"
"Rewards-Redemption | Redeemed Jewels, amt not credited | L2J: Escalated to resolve Jewel Credit issue"
Rewards-Redemption | Unable to redeem Jewels | Informed minimum amount req for conversion
Rewards-Redemption | Unable to redeem Jewels | L2J: Escalated to resolve redemption issue
"Rewards-Redemption | Unable to redeem Jewels | L2J: Jwls available, unable to redeem to voucher"
Rewards-Redemption | Unable to utilise voucher on the merchant portal | Informed to utilise voucher as per tnc
Rewards-Redemption | Unable to utilise voucher on the merchant portal | L2C: Unable to redeem voucher
Rewards-Redemption | Why is my Jewel balance reduced | Guided with reduction logic
"Rewards-Rewards Earning | Did an ineligible txn, Jewels not credited | Informed the txn is ineligible"
"Rewards-Rewards Earning | Did an ineligible txn, Jewels not credited | L2J: Escalated to resolve Jwl credit issue"
SA recovery activity | Federal activity enquiry | Provided the information
Salary Account - Activation | L2C: Amazon Voucher Not Received | Escalated to Internal Partner
Salary Account - Activation | L2C: Status update pending issue | Escalated to Internal Partner
Salary Account - Activation | L2J: Initiating conversion issue | Escalated to Tech
Salary Account - Activation | L2J: Status update pending issue | Escalated to Tech
Salary Account - Activation | L2J: Work email verification issue | Escalated to Tech
"Salary Account - Activation | Official Email ID Verification Issue | Within 24 hours, asked to wait"
"Salary Account - Activation | Pro Status Update Pending | Within 24 hours, asked to wait"
Salary Account - Activation | Unable to Initiate Activation Process | Educated about Activation process
Salary Account - Closure | Salary Account closure enquiry | Educated about Account Closure process
Salary Account - Closure | Salary Account closure enquiry | Escalated to Tech
Salary Account - Info & Details | Benefits Enquiry | Educated about the Process
Salary Account - Info & Details | Eligibility Enquiry | Educated about the Process
Salary Account - Info & Details | Employer Code Enquiry | Educated about the Process
Salary Account - Info & Details | Employer Details Change | Educated about the Process
Salary Account - Info & Details | Process Enquiry - How to upgrade | Educated about the Process
Salary Account - Info & Details | Voucher related | Educated about the Process
Salary Account - Usage | Insurance related enquiry - How to avail the option | Educated about the feature
Salary Account - Usage | L2J: Insurance issues | Escalated to Tech
Salary Account - Usage | Loan Option related enquiry - How to avail the option | Educated about the feature
Salary Account - Usage | Other Issues | Educated about the feature
Savings Account - A/c statement | A/c statement download issue | L2J: Account Statement download Issue
Savings Account - A/c statement | Account statement enquiry | Informed about process flow
Savings Account - A/c statement | Closed a/c statement enquiry | Informed about process flow
Savings Account - A/c statement | Missing Transaction | L2J: Account Statement Issue
Savings Account - A/c statement | Physical statement request | L2C: Escalated to receive physical statement
Savings Account - A/c statement | Require closed a/c statement | Escalated - TAT of 3WDs
Savings Account - Account Closure | Account Closure Deceased | Informed about deceased flow
Savings Account - Account Closure | Account Closure Deceased | L2C : Deceased Customer
Savings Account - Account Closure | Account closure enquiry | Account closure info provided - AFK
Savings Account - Account Closure | Account closure enquiry | Informed about the process flow
Savings Account - Account Closure | Account closure enquiry | L2C: Account closure
Savings Account - Account Closure | Account closure enquiry | L2C: AMB A/c closure
Savings Account - Account Closure | Account closure enquiry | L2C: AMC A/C Closure
Savings Account - Account Closure | Account closure enquiry | Offline a/c closure
Savings Account - Account Closure | Account closure enquiry | Transferred to chat
Savings Account - Account Closure | Account closure enquiry | User Retained
Savings Account - Account Closure | AMB closure enquiry | Informed about AMB closure process
Savings Account - Account Closure | Bal pending enquiry | Advise to provide alt a/c details
Savings Account - Account Closure | Bal pending issue | L2C: Raised to Demo
Savings Account - Account Closure | DG balance pending | L2C: DG Transfer Request
Savings Account - Account Closure | Pre requisite not met | Informed about meeting pre requisites
Savings Account - Account Closure | Refund query | L2C: Raised to Demographics
Savings Account - Account Closure | Reopen closed account | Informed a/c cant be reopened
Savings Account - Account Closure | UPI Lite/ Pending charges | Informed about UPI Lite/Pending charges
Savings Account - Account Closure | UPI Lite/ Pending charges | L2C: Pending charges
Savings Account - Account Restricted | Fraud Risk | Routed to Cybercare
Savings Account - Account Usage | App usage enquiry | Guided through steps
Savings Account - Account Usage | App usage issue | L2J: App Usage escalation
Savings Account - Account Usage | Login Issue | Asked for video/clear cache
Savings Account - AMB related | AMB calculation Enquiry | Informed about calculation process
Savings Account - AMB related | AMB charges Enquiry | Informed about charges
"Savings Account - AMB related | AMB deduction enquiry | Checking internally, advised to wait"
Savings Account - AMB related | AMB Enquiry | Informed about process flow
Savings Account - AMB related | AMB Refund enquiry | Informed about process flow
Savings Account - Balance related | A/c balance enquiry | Informed about process flow
Savings Account - Balance related | Balance mismatch issue | L2C: Bal mismatch issue
Savings Account - Balance related | Balance mismatch issue | L2J: Bal mismatch issue
Savings Account - Balance related | Deduction related | Informed about the deducted amount
Savings Account - Cancelled Cheque | How to get a cancelled cheque | Cancelled cheque enquiry
Savings Account - Cancelled Cheque | Limit of Ordering/Charges | No limit/charges
Savings Account - Cancelled Cheque | Unable to download | L2J: Cancelled cheque issue
Savings Account - Chequebook related | Cheque deposit process | Info given about Cheque deposit
Savings Account - Chequebook related | Cheque deposit process post TAT | L2C: cheque deposit issue
Savings Account - Chequebook related | Cheque deposit process within TAT | Informed about TAT
Savings Account - Chequebook related | Chequebook - 2nd request | 2nd Chequebook enquiry
Savings Account - Chequebook related | Chequebook - 2nd request | L2C: 2nd Chequebook request
Savings Account - Chequebook related | Chequebook cancellation | Informed about cancellation process
Savings Account - Chequebook related | Chequebook request/charges | Informed about the process/charges
Savings Account - Chequebook related | Chequebook RTO'd | Info given about RTO process
Savings Account - Chequebook related | Chequebook RTO'd | L2C: Chequebook redispatch request
Savings Account - Chequebook related | Chequebook tracking AWB available | Informed about tracking
Savings Account - Chequebook related | Chequebook tracking AWB not available | L2C: Chequebook delivery related issue
Savings Account - Chequebook related | Chequebook wrong delivery | L2C: Chequebook delivery related issue
Savings Account - Chequebook related | Sealed signed statement request | L2C: Sealed statement request
Savings Account - Chequebook related | Signature update | Informed about signature update
"Savings Account - Chequebook related | Signature update | Journey cured,asked to retry"
Savings Account - Chequebook related | Signature update | L2J : Signature update Issue
Savings Account - Chequebook related | Signature upload failure issue | Informed about failure issue
Savings Account - Chequebook related | Stop payment request | L2C: Stop payment request raised
Savings Account - Demographics | Aadhar Change | Informed about the process
Savings Account - Demographics | Address Change | L2C: Address Change
Savings Account - Demographics | Address Change | L2J : Address Change
Savings Account - Demographics | Address Change | Provided Address Change flow
Savings Account - Demographics | Demand draft request | Informed about the process
"Savings Account - Demographics | Discrepancy in Pots,SP,DG,MF | L2J: Updating Phone Number issue"
Savings Account - Demographics | Email ID change | Guided through steps
Savings Account - Demographics | Email ID change | L2J: Email ID issue
Savings Account - Demographics | Nominee change | Feature will be available soon
Savings Account - Demographics | Pan Change | Informed about the process
Savings Account - Demographics | Phone number change - Aadhar related | Guided through steps
Savings Account - Demographics | Phone number change - email verification | Guided through steps
Savings Account - Demographics | Phone number change - mPin related | Guided through steps
Savings Account - Demographics | Process to change phone number | Informed about pre requisites
Savings Account - Demographics | Unregistered Email ID | Advise to contact using registered mail ID
Savings Account - Demographics | Updating phone number issue | L2J: Phone number issue
Savings Account - Demographics | Updating phone number issue | Old number lost-Info given
Savings Account - Digital Passbook | How to get Digital Passbook | Informed about steps through app
Savings Account - Digital Passbook | Limit of Ordering/Charges | No limit/charges
Savings Account - Digital Passbook | Unable to download | L2J: Digital Passbook issue
Savings Account - Freeze related | Dormant account | Dormant advise to visit bank
Savings Account - Freeze related | Dormant account | Guided through steps
Savings Account - Freeze related | Dormant account | L2C : Branch Visit Denial esc to bank
Savings Account - Freeze related | Dormant account | L2C: Freeze not removed esc to bank
Savings Account - Freeze related | Freeze 08 | L2C: Freeze 08 issue
Savings Account - Freeze related | Freeze 14 - Freeze a/c | L2C: Freeze a/c
Savings Account - Freeze related | Freeze 14 - Unfreeze a/c | L2C: Unfreeze a/c
Savings Account - Freeze related | freeze 16 | Informed about completing ReKYC
Savings Account - Freeze related | freeze 16 | L2C : Post TAT Branch Visit
Savings Account - Freeze related | freeze 16 | L2C: Post TAT escalated to bank
Savings Account - Freeze related | freeze 16 | L2J : Account Frozen
Savings Account - Freeze related | freeze 16 | Within TAT advised to wait
Savings Account - Freeze related | Freeze 21 | Advise to connect with branch
Savings Account - Freeze related | Freeze 26 | Informed about visiting the branch
Savings Account - Freeze related | Freeze 26 | L2C : Branch Visit Denial
Savings Account - Freeze related | Freeze 51 | Routed to Cybercare
Savings Account - Freeze related | Freeze 52 | Routed to Cybercare
Savings Account - Freeze related | Freeze 64 | Dormant advise to visit bank
Savings Account - Freeze related | Freeze 64 | L2C : Branch Visit Denial esc to bank
Savings Account - Freeze related | Freeze 64 | L2C: Freeze not removed esc to bank
Savings Account - HKYC Expired | Bal transfer | Advised to create alternate bank a/c
Savings Account - HKYC Expired | Bal transfer | Informed about transfer status
Savings Account - HKYC Expired | Bal transfer | L2C: Bal transfer request
Savings Account - HKYC Expired | Disputing the balance transfered | Informed about correct amount
Savings Account - HKYC Expired | Disputing the balance transfered | L2C: Dispute on transferred amt issue
Savings Account - HKYC Expired | Funds are not credited(Post TAT) | L2C: Funds not credited
Savings Account - HKYC Expired | Funds are not credited(within TAT) | Informed about UTR
Savings Account - HKYC Expired | HKYC a/c enquiry | Informed about HKYC Limit
Savings Account - HKYC Expired | HKYC A/c Re-open Enquiry | Informed about the process
Savings Account - HKYC Expired | HKYC limit reached | Check if amount is in pool account
Savings Account - HKYC Expired | No Account Closure Flag/Tag | L2C: Closure Flag/Tag
Savings Account - Info & Details | Account details (IFSC/MICR/SWIFT/MMID) | Informed about account/branch details
Savings Account - Info & Details | Feature/Limit/Fees & Charges enquiry | Informed about features/fees/charges
Savings Account - IPO related | Filling IPO - Private company/Individual | Informed about process flow
Savings Account - IPO related | IPO - enquired about txn log | Informed about process flow
Savings Account - IPO related | IPO - funds not blocked | Informed about process flow
Savings Account - IPO related | IPO - funds not blocked | L2C: IPO Funds Unblocking Issue
Savings Account - IPO related | IPO - txn log issue | Informed about process flow
Savings Account - mPin related | Error resetting MPIN through Debit Card | Informed about resetting via DC
Savings Account - mPin related | Error resetting MPIN through Debit Card | L2J: Setting/resetting MPIN issue
Savings Account - mPin related | Forgot/Unable to reset mPin | Guide with mPin steps
Savings Account - mPin related | Forgot/Unable to reset mPin | L2J: Setting/resetting MPIN issue
Savings Account - mPin related | mPin - Face matching option unavailable | Informed about process flow
Savings Account - mPin related | mPin reset | Informed about mPin flow
Savings Account - Nach related | Credit funds post ECS debit triggered | Funds should be available Day - 1
Savings Account - Nach related | Credit funds post ECS debit triggered | L2C: ECS debited related issue
Savings Account - Nach related | Dual payment | Redirected to merchant
Savings Account - Nach related | ECS & NACH Charges & Fee | Informed about Nach charges/fees
Savings Account - Nach related | ECS & NACH Enquiry | Informed abt ECS/NACH
Savings Account - Nach related | NACH cancellation | Informed about Nach cancellation process
Savings Account - Nach related | NACH cancellation | L2C: ECS & NACH cancellation request
Savings Account - Nach related | NACH return charges applied | Informed about return charges
Savings Account - Nach related | Nach set up | Explained the process/Redirected to merchant
Savings Account - Nach related | Nach set up | L2C: ECS debited related issue
Savings Account - Nach related | Offline payment | L2C: ECS debited related issue
Savings Account - Nach related | Unaware of setting Nach | L2C: ECS debited related issue
Savings Account - Passbook | Branch denial | L2C: Physical passbook request
Savings Account - Passbook | How can I get a Passbook | Advise to visit branch
"SP-Incoming txn | Txn processing, amt not credited | L2J: Txn in processing issue"
SP-Incoming txn | Txn Related | Informed the user to wait for TAT
SP-Incoming txn | Txn Related | L2J: Txn failed issue
"SP-Incoming txn | Txn successfull, amt not credited | Guided the user with TAT for credit in SP"
"SP-Incoming txn | Txn successfull, amt not credited | L2J: Amount not transferred in SP issue"
SP-Incoming txn | Unable to deposit money | Informed reached max deposit limit
"SP-Incoming txn | Unable to deposit money | L2J: ""Add amt screen not available"" tech issue"
"SP-Incoming txn | Unable to deposit money | L2J: ""Deposit failed"" tech issue"
"SP-Incoming txn | Unable to deposit money | L2J: ""Something seems to be wrong"" tech issue"
"SP-Incoming txn | Unable to deposit money | L2J: ""Super Pot does not exist"" tech issue"
"SP-Incoming txn | Unable to deposit money | L2J: ""System restricting from adding more"" tech issue"
SP-Incoming txn | Unable to deposit money | L2J: Individual pot bal not updated issue
SP-Incoming txn | Unable to deposit money | L2J: Jwls clawed back issue
SP-Incoming txn | Unable to deposit money | L2J: Secondary a/c is null tech issue
SP-Info & Details | Balance issues | Informed the user to wait for TAT
SP-Info & Details | Balance issues | L2J: SP Balance Issues
SP-Info & Details | Can I add a nominee? | Nominees can be done while creating SP only
SP-Info & Details | How to add money to SP? | Guided with process
SP-Info & Details | How to create/delete SP | Guided with process
SP-Info & Details | How will int be credited | advised it will be credited to SP account
SP-Info & Details | Int rate shown is lesser | Inform lesser int rate applicable for HKYC users
SP-Info & Details | Unable to add nominee | L2J: Nominee Related raised to tech to check
SP-Info & Details | Unable to create SP | L2J: unable to create issue raised to tech
SP-Info & Details | Unable to delete SP | L2J: Unable to delete Super Pot Issue
SP-Info & Details | Want to withdraw SP before maturity | Guided the user with early withdrawal
SP-Info & Details | When will my SP get created? | Informed about TAT
SP-Info & Details | When will my SP mature | Informed the date of maturity
SP-Info & Details | Why am I charged a penalty? | Explained the reason for penalty
SP-Info & Details | Why am I charged a penalty? | L2J: Incorrect penalty charged raised to tech for debugging
SP-Info & Details | Will I be charged any penalty? | Advised Penlty is charged basis the Tenure
SP-Outgoing Txn | Txn Related | L2J: Txn failed issue
SP-Outgoing Txn | Txn Related | L2J: Txn in processing issue
SP-Outgoing Txn | When will amount get credited? | Guided the user with withdrawal TAT
SP-Outgoing Txn | When will amount get credited? | L2J: Amt not reflecting in savings a/c issue
UPI - Activation | Add/change UPI ID | Guided the steps
UPI - Activation | Mandate enquiry | Provided details regarding mandate
UPI - Activation | Mandate issue(Post TAT) | L2J: Mandate issue raised
UPI - Activation | Mandate issue(within TAT) | Informed about TAT
UPI - Activation | Multiple cust ID found issue | L2C: Multiple cust ID found issue
UPI - Activation | Set /reset UPI Pin Enquiry | Guided through steps
UPI - Activation | Transfer limit | Informed about limit to transfer 5k
UPI - Activation | Unable/error to reset | L2J: UPI pin related issue
UPI - Activation | UPI ID not fetched | L2J: UPI ID not fetched
UPI - Activation | UPI pin related issue | L2J: UPI pin related issue
UPI - DMP | DMP cancellation | L2C: Raised with bank
UPI - DMP | DMP post TAT | L2C: DMP Update
UPI - DMP | DMP Update | DMP Update enquiry
UPI - Downtime | Incoming txn | Informed about TAT
UPI - Downtime | Outgoing TXN | Informed about TAT
UPI - Incoming Transaction | Disputing successful txn | L2J: Disputing successful txn issue
UPI - Incoming Transaction | Fraud and Suspicious Transaction | L2C: Escalated to bank
UPI - Incoming Transaction | Jupiter UPI ID not recognized | Guided through steps
UPI - Incoming Transaction | Refund Dispute | L2C: Refund dispute
UPI - Incoming Transaction | Refund Enquiry | Informed about TAT
UPI - Incoming Transaction | Request Money Enquiry | Guided through steps
UPI - Incoming Transaction | Request Money Issue | L2J: Request money Issue
UPI - Incoming Transaction | Self credit failed | L2J: Self credit failed issue
UPI - Incoming Transaction | Self credit issue(Post TAT) | L2C: Self credit in processing issue
UPI - Incoming Transaction | Self credit issue(within TAT) | Informed about TAT
UPI - Incoming Transaction | Self credit success | L2J: Self credit success issue
UPI - Incoming Transaction | Transaction Failed enquiry | Informed about status
UPI - Incoming Transaction | Transaction Status Enquiry post TAT | L2C: Escalated to bank
UPI - Incoming Transaction | Transaction Status Enquiry within TAT | Informed about status
UPI - Incoming Transaction | Txn failed | L2J: Txn failed issue
UPI - Incoming Transaction | Txn in Processing (Post TAT) | L2C: Txn in processing issue
UPI - Incoming Transaction | Txn in Processing (within TAT) | Informed about TAT
UPI - Incoming Transaction | Unable to Initiate P2M | Advise to contact merchant
UPI - Incoming Transaction | Unable to Initiate P2P | L2J: Unable to initiate request
UPI - Info & Details | Charges & Limits Enquiry | Informed about limit/charges
UPI - Info & Details | Directed to DMP | Guide through chargeback process
UPI - Outgoing Transaction | Amt debited twice(Post TAT) | L2C: Amt debited twice issue
UPI - Outgoing Transaction | Amt debited twice(within TAT) | Informed about TAT
UPI - Outgoing Transaction | Beneficiary UPI ID Enquiry | Guided through steps
UPI - Outgoing Transaction | Beneficiary UPI ID Not found | Guided through steps
UPI - Outgoing Transaction | Daily limit | Informed about the limit
UPI - Outgoing Transaction | Disputing successful txn(Post TAT) | L2C: Disputing successful txn issue
UPI - Outgoing Transaction | Disputing successful txn(within TAT) | Informed about TAT
UPI - Outgoing Transaction | DMP cancellation | L2C: Raised with bank
UPI - Outgoing Transaction | Failed txn(Post TAT) | L2C: Txn failed issue
UPI - Outgoing Transaction | Failed txn(Within TAT) | Informed about TAT
UPI - Outgoing Transaction | Goods/service not provided (Post TAT) | L2C: Chargeback for goods/service not provided issue
UPI - Outgoing Transaction | Goods/service not provided (Within TAT) | Informed about TAT
UPI - Outgoing Transaction | Merchant refund delay | L2C: Merchant refund delay issue
UPI - Outgoing Transaction | Money request enquiry | Guided through steps
UPI - Outgoing Transaction | Refund Dispute | L2C: Refund dispute
UPI - Outgoing Transaction | Refund Enquiry(within TAT) | Informed about TAT
UPI - Outgoing Transaction | Scan & Pay issue | L2C: Scan and pay issue
UPI - Outgoing Transaction | Suspicious/fraud txn (Post TAT) | L2C: Chargeback for suspicious/fraud txn issue
UPI - Outgoing Transaction | Suspicious/fraud txn(within TAT) | Informed about TAT
UPI - Outgoing Transaction | Suspicious/fraud txn(within TAT) | L2C: Chargeback for suspicious/fraud txn issue
UPI - Outgoing Transaction | Transaction Failed enquiry | Informed about TAT and refund
UPI - Outgoing Transaction | Transaction Status Enquiry | Informed about TAT
UPI - Outgoing Transaction | Txn in processing(Post TAT) | L2C: Txn in processing issue
UPI - Outgoing Transaction | Txn in processing(within TAT) | Informed about TAT
UPI - Outgoing Transaction | Unable to initiate txn | L2J: Unable to initiate txn issue
UPI - Outgoing Transaction | Unblock UPI id | Informed about the process
UPI - Outgoing Transaction | Unblock UPI id | L2C: Unblock UPI ID issue
UPI - Outgoing Transaction | Wrong transfer(Post TAT) | L2C: Chargeback for wrong transfer issue
UPI - Outgoing Transaction | Wrong transfer(Within TAT) | Informed about TAT
UPI - QR code | QR Code Enquiry | Guided through steps
UPI - QR code | QR Code Issue | L2J: QR Code Issue
UPI - Scan & Pay | Unable to scan | L2J: Escalated
Mutual Funds - Info Details | Nominee details | Informed the process
